---------------------------------------------------------------------------------------------------
Date: 5/19/2026 -- 23:07:18 (uptime: 0d, 00h 00m 09s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 2
capture.afpacket.polls                                       | Total                     | 228
capture.afpacket.poll_timeout                                | Total                     | 226
capture.afpacket.poll_data                                   | Total                     | 2
decoder.pkts                                                 | Total                     | 2
decoder.bytes                                                | Total                     | 160
decoder.ipv6                                                 | Total                     | 2
decoder.ethernet                                             | Total                     | 2
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 80
decoder.max_pkt_size                                         | Total                     | 90
flow.total                                                   | Total                     | 2
flow.active                                                  | Total                     | 2
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 2
decoder.event.ipv6.zero_len_padn                             | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9800
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 1
flow.mgr.flows_notimeout                                     | Total                     | 1
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 458752
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/19/2026 -- 23:07:26 (uptime: 0d, 00h 00m 17s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 3
capture.afpacket.polls                                       | Total                     | 585
capture.afpacket.poll_timeout                                | Total                     | 582
capture.afpacket.poll_data                                   | Total                     | 3
decoder.pkts                                                 | Total                     | 3
decoder.bytes                                                | Total                     | 230
decoder.ipv6                                                 | Total                     | 3
decoder.ethernet                                             | Total                     | 3
decoder.icmpv6                                               | Total                     | 3
decoder.avg_pkt_size                                         | Total                     | 76
decoder.max_pkt_size                                         | Total                     | 90
flow.total                                                   | Total                     | 2
flow.active                                                  | Total                     | 2
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 2
decoder.event.ipv6.zero_len_padn                             | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9800
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 458752
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/19/2026 -- 23:07:35 (uptime: 0d, 00h 00m 26s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 3
capture.afpacket.polls                                       | Total                     | 819
capture.afpacket.poll_timeout                                | Total                     | 816
capture.afpacket.poll_data                                   | Total                     | 3
decoder.pkts                                                 | Total                     | 3
decoder.bytes                                                | Total                     | 230
decoder.ipv6                                                 | Total                     | 3
decoder.ethernet                                             | Total                     | 3
decoder.icmpv6                                               | Total                     | 3
decoder.avg_pkt_size                                         | Total                     | 76
decoder.max_pkt_size                                         | Total                     | 90
flow.total                                                   | Total                     | 2
flow.active                                                  | Total                     | 2
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 2
decoder.event.ipv6.zero_len_padn                             | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 2
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9800
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 458752
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/19/2026 -- 23:07:43 (uptime: 0d, 00h 00m 34s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 4
capture.afpacket.polls                                       | Total                     | 1168
capture.afpacket.poll_timeout                                | Total                     | 1164
capture.afpacket.poll_data                                   | Total                     | 4
decoder.pkts                                                 | Total                     | 4
decoder.bytes                                                | Total                     | 300
decoder.ipv6                                                 | Total                     | 4
